Número,Nome
395,Sítio Córrego / Parangaba
397,Jardim Jatobá / Siqueira II
399,Cidade Jardim I / Parangaba
400,Osório de Paiva / Siqueira
401,Montese / Parangaba
403,Parangaba / Centro / Expedicionários
404,Aeroporto / Benfica / Rodoviária
405,Parque Dois Irmãos / Expedicionários
406,Planalto Ayrton Senna / Expedicionários
407,José Walter / Expedicionários
411,Montese / Lagoa
421,Montese / Lagoa / Parangaba
456,Planalto Ayrton Senna / Parangaba
466,Arvoredo / Parangaba
501,Bairro de Fátima
502,Vila União
600,Messejana / Frei Cirilo / Expresso
601,Aerolândia
602,Parque Pio XII / Ana Gonçalves
603,Jardim União / Centro
604,Dias Macedo / Centro
605,José Walter / BR 116 / Av. I
606,José Walter / BR 116 / Av. N
609,Cidade dos Funcionários / Sítio São José
610,Cidade dos Funcionários / Conjunto Alvorada
611,Cidade dos Funcionários / Cofeco / Lago Jacarey
612,Conjunto Tancredo Neves / Novo Lagamar
613,Barroso / Jardim Violeta
616,Lagoa Redonda I
617,Lagoa Redonda / Abreulândia / Direita
618,Parque Santa Rosa / Messejana
619,Paupina
620,Corujão / Messejana / Barroso / Pedras
621,Pedras I
622,Pedras II
625,Parque Manibura / Borges de Melo
626,Lagoa Redonda II
627,Lagoa Redonda / Papicu
628,Sítio São João / Santa Maria
629,Conjunto Palmeiras / Perimetral
630,Itamaraty / Elizabeth II
631,Carlos Albuquerque
632,Alto Alegre / Messejana
633,Passaré / Centro
634,Lagoa Redonda / Abreulândia / Esquerda
635,Conjunto Tamandaré
636,Conjunto Palmeiras / Parque Santa Maria
637,Conjunto Maria Tomásia / Santa Filomena
638,Pedras / BR-116 / Centro
639,Planalto Coaçu / Messejana
640,Conjunto Alvorada / Messejana
641,Guajerú I
642,Guajerú II
643,Barroso Circular
644,Lagoa Redonda / Abreulândia / Litorânea
645,Conjunto João Paulo II
646,Conjunto São Cristóvão
647,Luiz Gonzaga / Messejana
648,Cidade Nobre / Messejana
649,Cidade dos Funcionários / Sítio São José / CMR
650,Messejana / Centro / BR Nova / Expresso
653,Santa Fé
655,Passaré / Messejana
656,Messejana / Sabiaguaba / Direita
657,Messejana / Sabiaguaba / Esquerda
660,Conjunto Palmeiras / Centro
663,Gereberaba / Messejana
665,Corujão / Messejana / Centro
666,Jardim Castelão
667,Maria Tomásia / Luiz Gonzaga
668,Parque Betânia / Messejana
670,Sítio São João / Centro
676,Conjunto Curió
679,José Walter / Cidade Jardim
680,José Walter / Papicu / Cidade Jardim
681,Alameda das Palmeiras
685,Messejana / Rodoviária
686,Conjunto São Bernardo
696,Curió / Messejana
699,Cidade Jardim / Messejana
701,Parque Americano
702,Av. Antônio Sales / Dionísio Torres
711,Barra do Ceará / Cais do Porto
725,Parque Santa Maria / Liceu
804,Aldeota
806,Edson Queiroz / Papicu
810,Papicu / Praia do Futuro
813,Papicu / Praia do Futuro II
814,Papicu / Castelo Encantado
